"","crop","country","ac1","cv","Ha","d","dip.p","pollination_syndrome","sp_latin"
"86","Coffee","India",-0.499457150048939,0.133879391801602,239781.517241379,0.0477926496113201,0.413062807347529,"Insect","Coffea_arabica"
"87","Coffee","Uganda",0.0510020214347912,0.168460628650542,273314.862068966,0.0409368418369249,0.694756842827848,"Insect","Coffea_arabica"
"88","Cranberry","United States of America",-0.136144014474253,0.0628358373697497,12107.3793103448,0.0325754044404761,0.954649220144683,"Insect","Vaccinium_macrocarpon"
"89","Cranberry","Canada",-0.0983294129983851,0.141039836234117,1999.62068965517,0.046712114900118,0.454955250129927,"Insect","Vaccinium_macrocarpon"
"90","Cranberry","Chile",0.312700202942257,0.201281359584221,4921,0.0496076523639081,0.882815623401518,"Insect","Vaccinium_macrocarpon"
"91","Cranberry","Latvia",-0.520107822160516,0.302403585236608,937.037037037037,0.0368592728573369,0.993439191929666,"Insect","Vaccinium_macrocarpon"
"92","Cranberry","Belarus",-0.0315171926058646,0.306562155021381,751.666666666667,0.0444602456216988,0.968588406833821,"Insect","Vaccinium_macrocarpon"
"93","Cranberry","Azerbaijan",0.0301893628871763,0.107998161393335,415.37037037037,0.0611965688521428,0.593307136281653,"Insect","Vaccinium_macrocarpon"
"94","Cranberry","North Macedonia",-0.324155895409281,0.0404682638721929,38.92,0.0750773830022334,0.291552570749113,"Insect","Vaccinium_macrocarpon"
"95","Grapefruit","United States of America",0.151539404230209,0.113719714007485,56560.6034482759,0.0355358227014863,0.888604356917934,"Insect","Citrus_paradise"
"96","Grapefruit","China, mainland",0.398093610542084,0.327148173644556,26895.8965517241,0.0282181653259822,0.991247933226641,"Insect","Citrus_paradise"
"97","Grapefruit","Israel",-0.0953367778066121,0.160173171199443,5961.10344827586,0.0329866038753055,0.948594099268421,"Insect","Citrus_paradise"
"98","Grapefruit","South Africa",0.381830831150604,0.086530295114996,6540.94827586207,0.0331330131662529,0.945351985767609,"Insect","Citrus_paradise"
"99","Grapefruit","Mexico",0.10778555080331,0.105573047830017,9021.18965517241,0.0392346077704129,0.762675504745489,"Insect","Citrus_paradise"
"100","Grapefruit","Argentina",0.0921137136898993,0.105035400514138,10049.8205128205,0.0327890026917771,0.99205726691008,"Insect","Citrus_paradise"
"101","Grapefruit","Viet Nam",-0.00834644485843577,0.0871336270460352,14796.2586206897,0.0412426301022135,0.681753179721455,"Insect","Citrus_paradise"
"102","Grapefruit","Cuba",-0.297673150883456,0.216295744493024,19038.5,0.0464954794612655,0.857051224841712,"Insect","Citrus_paradise"
"103","Grapefruit","Thailand",0.236348161126407,0.0596150240507675,16160.4482758621,0.0342938772559924,0.919645603928039,"Insect","Citrus_paradise"
"104","Grapefruit","India",-0.0366750841716797,0.0549311128067487,5263.55172413793,0.031560766950913,0.968215871663769,"Insect","Citrus_paradise"
"105","Hazelnut","Turkey",-0.279205321214842,0.231933311952415,333717.465517241,0.0296049999589648,0.987889136391596,"Wind","Corylus_avellana"
"106","Hazelnut","Italy",-0.300883387696315,0.141573637432885,66362.8275862069,0.031646204549881,0.967073491115298,"Wind","Corylus_avellana"
"107","Hazelnut","Azerbaijan",-0.247919857452896,0.202267048721368,22844.8888888889,0.0439749219902942,0.973221104069774,"Wind","Corylus_avellana"
"108","Hazelnut","United States of America",-0.512811060414713,0.282099000368789,9980.3275862069,0.0390198200697965,0.771201440880827,"Wind","Corylus_avellana"
"109","Hazelnut","Spain",-0.364016090571325,0.222932136476035,25301.8103448276,0.0439622258401788,0.566579976269304,"Wind","Corylus_avellana"
"110","Hazelnut","Georgia",0.121627542900094,0.0441945978991808,10877.0740740741,0.0546491030356591,0.785611925387344,"Wind","Corylus_avellana"
"111","Hazelnut","Iran (Islamic Republic of)",0.276108659399447,0.165454047243007,9447.63793103448,0.0320837775870898,0.961222730650577,"Wind","Corylus_avellana"
"112","Hazelnut","China, mainland",-0.388213612313867,0.0424444624882017,8505.94117647059,0.0400426222837136,0.970358704563301,"Wind","Corylus_avellana"
"113","Hazelnut","Greece",-0.406126565833623,0.157666932648665,1921.14705882353,0.0419328246347508,0.950310291547406,"Wind","Corylus_avellana"
"114","Jojoba","Mexico",0.125560059289029,0.304032626739908,350.864864864865,0.0354200001471754,0.990463409790102,"Wind","Simmondsia_chinensis"
"115","Kiwi","Italy",-0.174787696507388,0.0801972926564541,18557.7142857143,0.0502529847427364,0.73407899510957,"Insect","Actinidia_deliciosa"
"116","Kiwi","New Zealand",-0.123630961388583,0.08721756695572,10508.2244897959,0.0347634994384123,0.960569020310575,"Insect","Actinidia_deliciosa"
"117","Kiwi","Chile",0.0596451005712701,0.0881821304126391,7900.08108108108,0.0417553918090266,0.924629091412771,"Insect","Actinidia_deliciosa"
"118","Kiwi","Iran (Islamic Republic of)",-0.0478294834064866,0.065226839629908,4386.41379310345,0.0593740737675183,0.592090105248976,"Insect","Actinidia_deliciosa"
"119","Kiwi","Greece",0.215880059827362,0.126099423815217,3951.5641025641,0.0453784502916723,0.812529531232832,"Insect","Actinidia_deliciosa"
"120","Kiwi","France",0.276928466618159,0.087782719121838,3400.07142857143,0.0514288969258936,0.548179867499344,"Insect","Actinidia_deliciosa"
"121","Kiwi","Japan",0.0104863117413187,0.107511884371027,3195.67647058824,0.0396062362919476,0.974987228378477,"Insect","Actinidia_deliciosa"
"122","Kiwi","United States of America",0.154885813770662,0.163393099101796,1972.94871794872,0.0453719419922156,0.812702551492206,"Insect","Actinidia_deliciosa"
"123","Kiwi","Turkey",-0.283166920124345,0.118652428206481,1295.96,0.060189867686231,0.685555311840542,"Insect","Actinidia_deliciosa"
"124","Mango","India",0.254707771186719,0.0769610066316236,1336503.98275862,0.0261999433184197,0.993538928216323,"Insect","Mangifera_indica"
"125","Mango","China, mainland",0.188235159986188,0.0894172726967384,221914.965517241,0.0427801949181528,0.616368149815708,"Insect","Mangifera_indica"
